year,from,to,count
2022,Alexander_Helios,Ptolemaic_dynasty,155
2022,List_of_cultural_depictions_of_Cleopatra,Serpent_of_the_Nile,70
2022,Mauretania,Latin,12
2022,Greek_language,Ionia,20
2022,Eunuch,Saladin,103
2022,Roman_Empire,Roman_mosaic,53
2022,Greek_language,Ancient_Greek_dialects,1175
2022,Rome_(TV_series),Pompey,257
2022,Assassination_of_Julius_Caesar,Getae,67
2022,Roman_Egypt,Roman_pharaoh,783
2022,Berenice_I_of_Egypt,Ptolemy_I_Soter,233
2022,Alexander_the_Great,Gedrosia,233
2022,Timeline_of_Roman_history,Cleopatra,101
2022,Berenice_III,Cleopatra,10
2022,"Tarsus,_Mersin",Cezerye,43
2022,Burlesque,Parody,114
2022,The_Death_of_Cleopatra,Charmion_(servant_to_Cleopatra),37
2022,Roman_Republic,Battle_of_the_Bagradas_River_(255_BC),26
2022,Roman_emergency_decrees,Roman_dictator,28
2022,Ancient_Egypt,Piye,26
2022,Mark_Antony,Berenice_IV,48
2022,Reign_of_Cleopatra,Ptolemy_XIII_Theos_Philopator,120
2022,Roman–Volscian_wars,Roman_Republic,24
2022,Carthago_delenda_est,Roman_Republic,104
2022,Pompey,Gnaeus_Pompeius_Magnus_(son_of_Pompey),2264
2022,Hadrian,Mauretania,39
2022,Antony's_Atropatene_campaign,Monaeses_(nobleman),71
2022,Gaius_Cassius_Longinus,Julius_Caesar,705
2022,Cherusci,Julius_Caesar,10
2022,Parthian_Empire,Gates_of_Alexander,209
2022,Greek_language,Pi_(letter),74
2022,Koine_Greek,Modern_Greek,624
2022,New_Kingdom_of_Egypt,Ptolemaic_Kingdom,34
2022,Clothing_in_ancient_Egypt,Ptolemaic_Kingdom,64
2022,Ancient_Egypt,Wadi_El_Natrun,42
2022,Slavery_in_Africa,Ancient_Egypt,28
2022,Egyptian_mythology,Ancient_Egypt,536
2022,Flag_of_the_Romani_people,Ancient_Egypt,44
2022,TT33_(tomb),Ancient_Egypt,10
2022,Julius_Caesar,Anticato,84
2022,Augustus,Constitutional_reforms_of_Augustus,622
2022,List_of_conflicts_in_Europe,Caesar's_civil_war,60
2022,Wonders_of_the_World,Ephesus,489
2022,Ancient_Rome,Italian_cuisine,48
2022,Government_of_Macedonia_(ancient_kingdom),Macedonia_(ancient_kingdom),145
2022,Mediterranean_Sea,Atlantropa,142
2022,Ancient_Rome,Cloaca_Maxima,40
2022,Mediterranean_Sea,Gibraltar,566
2022,Casino_Royale_(1967_film),Cleopatra_(1963_film),22
2022,Library_of_Alexandria,Archimedes'_screw,523
2022,Temple_of_Dendur,Roman_Egypt,56
2022,Diadem,Seleucid_Empire,98
2022,Ephesus,Goths,1035
2022,Great_Greeks,Alexander_the_Great,74
2022,Greco-Buddhism,Alexander_the_Great,192
2022,Lysimachus,Alexander_the_Great,219
2022,Neoptolemus,Alexander_the_Great,72
2022,Catherine_the_Great,Alexander_the_Great,38
2022,Egyptian_language,Voiceless_pharyngeal_fricative,121
2022,Eli_Avidar,Alexandria,57
2022,Lower_Egypt,Egyptian_language,131
2022,Roman_Egypt,Egyptian_language,109
2022,Greek_language,Attic_Greek,46
2022,Appian_Way,Photogrammetry,39
2022,Mersin_Province,"Tarsus,_Mersin",165
2022,Cleopatra,"Tarsus,_Mersin",451
2022,Ptolemaic_Kingdom,Greco-Bactrian_Kingdom,89
2022,Mauretania,Melilla,127
2022,French_people,Ancient_Rome,102
