file,url,toClicksLink,toClicksExternal,toClicksOther,toClicks,fromClicks
hdfs://spark-nn.eemcs.utwente.nl/user/s1934538/clickstream/clickstream-enwiki-2020-12.tsv.gz,J._Robert_Oppenheimer,24736,109443,349,134528,47399
hdfs://spark-nn.eemcs.utwente.nl/user/s1934538/clickstream/clickstream-enwiki-2020-12.tsv.gz,Sidharth_Shukla,20817,74023,83,94923,28455
hdfs://spark-nn.eemcs.utwente.nl/user/s1934538/clickstream/clickstream-enwiki-2020-12.tsv.gz,Mulan_(2020_film),62144,737876,9421,809441,610022
hdfs://spark-nn.eemcs.utwente.nl/user/s1934538/clickstream/clickstream-enwiki-2020-12.tsv.gz,Lists_of_deaths_by_year,15264,2601399,1147680,3764343,120480
hdfs://spark-nn.eemcs.utwente.nl/user/s1934538/clickstream/clickstream-enwiki-2020-12.tsv.gz,QAnon,57315,565096,3620,626031,121747
hdfs://spark-nn.eemcs.utwente.nl/user/s1934538/clickstream/clickstream-enwiki-2020-12.tsv.gz,Dune_(2021_film),95309,302504,4684,402497,225069
hdfs://spark-nn.eemcs.utwente.nl/user/s1934538/clickstream/clickstream-enwiki-2020-12.tsv.gz,Ukraine,47395,124206,2573,174174,82875
hdfs://spark-nn.eemcs.utwente.nl/user/s1934538/clickstream/clickstream-enwiki-2020-12.tsv.gz,United_States_Electoral_College,60896,424240,1652,486788,75766
hdfs://spark-nn.eemcs.utwente.nl/user/s1934538/clickstream/clickstream-enwiki-2020-12.tsv.gz,The_Umbrella_Academy_(TV_series),96541,345821,6005,448367,259131
hdfs://spark-nn.eemcs.utwente.nl/user/s1934538/clickstream/clickstream-enwiki-2020-12.tsv.gz,Fantastic_Beasts:_The_Crimes_of_Grindelwald,53688,69758,754,124200,73057
hdfs://spark-nn.eemcs.utwente.nl/user/s1934538/clickstream/clickstream-enwiki-2020-12.tsv.gz,Once_Upon_a_Time_in_Hollywood,105154,208890,8428,322472,322120
hdfs://spark-nn.eemcs.utwente.nl/user/s1934538/clickstream/clickstream-enwiki-2021-01.tsv.gz,Black_Panther_(film),88348,155704,3120,247172,158368
hdfs://spark-nn.eemcs.utwente.nl/user/s1934538/clickstream/clickstream-enwiki-2021-01.tsv.gz,Zack_Snyder's_Justice_League,121458,185059,20903,327420,155355
hdfs://spark-nn.eemcs.utwente.nl/user/s1934538/clickstream/clickstream-enwiki-2021-01.tsv.gz,Louis_Tomlinson,40391,86715,383,127489,27613
hdfs://spark-nn.eemcs.utwente.nl/user/s1934538/clickstream/clickstream-enwiki-2021-01.tsv.gz,Ukraine,52293,135753,3063,191109,92581
hdfs://spark-nn.eemcs.utwente.nl/user/s1934538/clickstream/clickstream-enwiki-2021-01.tsv.gz,United_States_Senate,448368,739662,20192,1208222,659939
hdfs://spark-nn.eemcs.utwente.nl/user/s1934538/clickstream/clickstream-enwiki-2021-01.tsv.gz,The_Mandalorian,189699,978123,14501,1182323,928297
hdfs://spark-nn.eemcs.utwente.nl/user/s1934538/clickstream/clickstream-enwiki-2021-01.tsv.gz,Top_Gun:_Maverick,55739,75519,1856,133114,93745
hdfs://spark-nn.eemcs.utwente.nl/user/s1934538/clickstream/clickstream-enwiki-2021-01.tsv.gz,UEFA_Euro_2020,32140,101358,1664,135162,52730
hdfs://spark-nn.eemcs.utwente.nl/user/s1934538/clickstream/clickstream-enwiki-2021-01.tsv.gz,Shinzo_Abe,40942,43943,485,85370,51143
hdfs://spark-nn.eemcs.utwente.nl/user/s1934538/clickstream/clickstream-enwiki-2021-01.tsv.gz,Godzilla_vs._Kong,229087,920132,14748,1163967,742475
hdfs://spark-nn.eemcs.utwente.nl/user/s1934538/clickstream/clickstream-enwiki-2021-01.tsv.gz,Cardi_B,43363,257705,4619,305687,104436
hdfs://spark-nn.eemcs.utwente.nl/user/s1934538/clickstream/clickstream-enwiki-2021-01.tsv.gz,Freddie_Mercury,74441,467449,3555,545445,200646
hdfs://spark-nn.eemcs.utwente.nl/user/s1934538/clickstream/clickstream-enwiki-2021-01.tsv.gz,Taliban,27559,60696,483,88738,60493
hdfs://spark-nn.eemcs.utwente.nl/user/s1934538/clickstream/clickstream-enwiki-2021-01.tsv.gz,Valentine's_Day,7686,198507,1069,207262,14141
hdfs://spark-nn.eemcs.utwente.nl/user/s1934538/clickstream/clickstream-enwiki-2021-01.tsv.gz,Aquaman_(film),43402,81467,1257,126126,65450
hdfs://spark-nn.eemcs.utwente.nl/user/s1934538/clickstream/clickstream-enwiki-2021-01.tsv.gz,Game_of_Thrones_(season_8),22166,59730,804,82700,30747
hdfs://spark-nn.eemcs.utwente.nl/user/s1934538/clickstream/clickstream-enwiki-2021-01.tsv.gz,2018_Asian_Games,6565,10678,108,17351,11737
hdfs://spark-nn.eemcs.utwente.nl/user/s1934538/clickstream/clickstream-enwiki-2021-01.tsv.gz,The_Umbrella_Academy_(TV_series),42275,245835,4074,292184,176698
hdfs://spark-nn.eemcs.utwente.nl/user/s1934538/clickstream/clickstream-enwiki-2021-01.tsv.gz,WrestleMania_34,25736,14699,148,40583,27142
hdfs://spark-nn.eemcs.utwente.nl/user/s1934538/clickstream/clickstream-enwiki-2021-01.tsv.gz,Sidharth_Shukla,25501,67108,197,92806,26761
hdfs://spark-nn.eemcs.utwente.nl/user/s1934538/clickstream/clickstream-enwiki-2021-01.tsv.gz,Watts_family_murders,22690,244099,507,267296,61817
hdfs://spark-nn.eemcs.utwente.nl/user/s1934538/clickstream/clickstream-enwiki-2021-01.tsv.gz,Us_(2019_film),28778,128439,511,157728,55425
hdfs://spark-nn.eemcs.utwente.nl/user/s1934538/clickstream/clickstream-enwiki-2021-01.tsv.gz,The_Batman_(film),110257,141890,3160,255307,219892
